Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NCX,TMCFGRNZM10OCT25CE11800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE11800FOCT25,10-OCT-2025,OPTFUT,CE,11800,1,
NCX,TMCFGRNZM10OCT25PE11800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE11800FOCT25,10-OCT-2025,OPTFUT,PE,11800,1,
NCX,TMCFGRNZM10OCT25CE13600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE13600FOCT25,10-OCT-2025,OPTFUT,CE,13600,1,
NCX,TMCFGRNZM10OCT25CE17200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE17200FOCT25,10-OCT-2025,OPTFUT,CE,17200,1,
NCX,TMCFGRNZM10OCT25PE16800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE16800FOCT25,10-OCT-2025,OPTFUT,PE,16800,1,
NCX,TMCFGRNZM10OCT25PE11600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE11600FOCT25,10-OCT-2025,OPTFUT,PE,11600,1,
NCX,TMCFGRNZM10OCT25CE14200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE14200FOCT25,10-OCT-2025,OPTFUT,CE,14200,1,
NCX,TMCFGRNZM10OCT25PE16000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE16000FOCT25,10-OCT-2025,OPTFUT,PE,16000,1,
NCX,TMCFGRNZM10OCT25CE12600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE12600FOCT25,10-OCT-2025,OPTFUT,CE,12600,1,
NCX,TMCFGRNZM10OCT25CE15400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE15400FOCT25,10-OCT-2025,OPTFUT,CE,15400,1,
NCX,TMCFGRNZM10OCT25PE12400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE12400FOCT25,10-OCT-2025,OPTFUT,PE,12400,1,
NCX,TMCFGRNZM10OCT25PE14600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE14600FOCT25,10-OCT-2025,OPTFUT,PE,14600,1,
NCX,TMCFGRNZM10OCT25PE13400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE13400FOCT25,10-OCT-2025,OPTFUT,PE,13400,1,
NCX,TMCFGRNZM10OCT25CE11400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE11400FOCT25,10-OCT-2025,OPTFUT,CE,11400,1,
NCX,TMCFGRNZM10OCT25PE17200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE17200FOCT25,10-OCT-2025,OPTFUT,PE,17200,1,
NCX,TMCFGRNZM10OCT25PE16400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE16400FOCT25,10-OCT-2025,OPTFUT,PE,16400,1,
NCX,TMCFGRNZM10OCT25CE15200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE15200FOCT25,10-OCT-2025,OPTFUT,CE,15200,1,
NCX,TMCFGRNZM10OCT25PE16600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE16600FOCT25,10-OCT-2025,OPTFUT,PE,16600,1,
NCX,TMCFGRNZM10OCT25PE14400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE14400FOCT25,10-OCT-2025,OPTFUT,PE,14400,1,
NCX,TMCFGRNZM10OCT25PE15600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE15600FOCT25,10-OCT-2025,OPTFUT,PE,15600,1,
NCX,TMCFGRNZM10OCT25PE17400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE17400FOCT25,10-OCT-2025,OPTFUT,PE,17400,1,
NCX,TMCFGRNZM10OCT25CE17400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE17400FOCT25,10-OCT-2025,OPTFUT,CE,17400,1,
NCX,TMCFGRNZM10OCT25PE14800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE14800FOCT25,10-OCT-2025,OPTFUT,PE,14800,1,
NCX,TMCFGRNZM10OCT25PE13000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE13000FOCT25,10-OCT-2025,OPTFUT,PE,13000,1,
NCX,TMCFGRNZM10OCT25PE14000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE14000FOCT25,10-OCT-2025,OPTFUT,PE,14000,1,
NCX,TMCFGRNZM10OCT25CE13400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE13400FOCT25,10-OCT-2025,OPTFUT,CE,13400,1,
NCX,TMCFGRNZM10OCT25CE15600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE15600FOCT25,10-OCT-2025,OPTFUT,CE,15600,1,
NCX,TMCFGRNZM10OCT25CE14400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE14400FOCT25,10-OCT-2025,OPTFUT,CE,14400,1,
NCX,TMCFGRNZM10OCT25CE16400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE16400FOCT25,10-OCT-2025,OPTFUT,CE,16400,1,
NCX,TMCFGRNZM10OCT25PE13800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE13800FOCT25,10-OCT-2025,OPTFUT,PE,13800,1,
NCX,TMCFGRNZM10OCT25CE13000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE13000FOCT25,10-OCT-2025,OPTFUT,CE,13000,1,
NCX,TMCFGRNZM10OCT25PE15800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE15800FOCT25,10-OCT-2025,OPTFUT,PE,15800,1,
NCX,TMCFGRNZM10OCT25CE12800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE12800FOCT25,10-OCT-2025,OPTFUT,CE,12800,1,
NCX,TMCFGRNZM10OCT25PE11200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE11200FOCT25,10-OCT-2025,OPTFUT,PE,11200,1,
NCX,TMCFGRNZM10OCT25PE15000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE15000FOCT25,10-OCT-2025,OPTFUT,PE,15000,1,
NCX,TMCFGRNZM10OCT25CE16000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE16000FOCT25,10-OCT-2025,OPTFUT,CE,16000,1,
NCX,TMCFGRNZM10OCT25CE14800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE14800FOCT25,10-OCT-2025,OPTFUT,CE,14800,1,
NCX,TMCFGRNZM10OCT25CE12400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE12400FOCT25,10-OCT-2025,OPTFUT,CE,12400,1,
NCX,TMCFGRNZM10OCT25CE14000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE14000FOCT25,10-OCT-2025,OPTFUT,CE,14000,1,
NCX,TMCFGRNZM10OCT25PE14200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE14200FOCT25,10-OCT-2025,OPTFUT,PE,14200,1,
NCX,TMCFGRNZM10OCT25PE12000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE12000FOCT25,10-OCT-2025,OPTFUT,PE,12000,1,
NCX,TMCFGRNZM10OCT25PE12800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE12800FOCT25,10-OCT-2025,OPTFUT,PE,12800,1,
NCX,TMCFGRNZM10OCT25CE11200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE11200FOCT25,10-OCT-2025,OPTFUT,CE,11200,1,
NCX,TMCFGRNZM10OCT25PE15400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE15400FOCT25,10-OCT-2025,OPTFUT,PE,15400,1,
NCX,TMCFGRNZM10OCT25CE16600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE16600FOCT25,10-OCT-2025,OPTFUT,CE,16600,1,
NCX,TMCFGRNZM10OCT25CE16800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE16800FOCT25,10-OCT-2025,OPTFUT,CE,16800,1,
NCX,TMCFGRNZM10OCT25CE13200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE13200FOCT25,10-OCT-2025,OPTFUT,CE,13200,1,
NCX,TMCFGRNZM10OCT25PE16200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE16200FOCT25,10-OCT-2025,OPTFUT,PE,16200,1,
NCX,TMCFGRNZM10OCT25CE14600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE14600FOCT25,10-OCT-2025,OPTFUT,CE,14600,1,
NCX,TMCFGRNZM10OCT25PE15200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE15200FOCT25,10-OCT-2025,OPTFUT,PE,15200,1,
NCX,TMCFGRNZM10OCT25CE13800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE13800FOCT25,10-OCT-2025,OPTFUT,CE,13800,1,
NCX,TMCFGRNZM10OCT25CE12000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE12000FOCT25,10-OCT-2025,OPTFUT,CE,12000,1,
NCX,TMCFGRNZM10OCT25PE11400FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE11400FOCT25,10-OCT-2025,OPTFUT,PE,11400,1,
NCX,TMCFGRNZM10OCT25CE17000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE17000FOCT25,10-OCT-2025,OPTFUT,CE,17000,1,
NCX,TMCFGRNZM10OCT25PE12200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE12200FOCT25,10-OCT-2025,OPTFUT,PE,12200,1,
NCX,TMCFGRNZM10OCT25CE11600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE11600FOCT25,10-OCT-2025,OPTFUT,CE,11600,1,
NCX,TMCFGRNZM10OCT25PE17000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE17000FOCT25,10-OCT-2025,OPTFUT,PE,17000,1,
NCX,TMCFGRNZM10OCT25PE12600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE12600FOCT25,10-OCT-2025,OPTFUT,PE,12600,1,
NCX,TMCFGRNZM10OCT25CE15000FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE15000FOCT25,10-OCT-2025,OPTFUT,CE,15000,1,
NCX,TMCFGRNZM10OCT25CE15800FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE15800FOCT25,10-OCT-2025,OPTFUT,CE,15800,1,
NCX,TMCFGRNZM10OCT25CE16200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE16200FOCT25,10-OCT-2025,OPTFUT,CE,16200,1,
NCX,TMCFGRNZM10OCT25CE12200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25CE12200FOCT25,10-OCT-2025,OPTFUT,CE,12200,1,
NCX,TMCFGRNZM10OCT25PE13200FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE13200FOCT25,10-OCT-2025,OPTFUT,PE,13200,1,
NCX,TMCFGRNZM10OCT25PE13600FOCT25,5,10,TMCFGRNZM,TMCFGRNZM10OCT25PE13600FOCT25,10-OCT-2025,OPTFUT,PE,13600,1,
